id,district,stay_name,stay_type,address,phone,check_in_out,coordinates,tags,description
1,斗六市,三好國際酒店,星級飯店,640雲林縣斗六市斗六五路35號,05-5510999,入住 15:00 / 退房 11:00,"23.722105, 120.551890","國際觀光飯店, 露天泳池, 景觀餐廳, 宴會廳",雲林指標性國際級飯店，緊鄰棒球場與體育園區，附設露天泳池、蒸氣三溫暖與高樓景觀餐廳。
2,斗六市,致麗伯爵酒店,商務飯店,640雲林縣斗六市中山路6號,05-5341666,入住 15:00 / 退房 12:00,"23.712150, 120.543820","斗六火車站前, 圓環商圈, 空中露天酒吧",位處斗六市核心圓環商圈，步行3分鐘即達斗六車站，頂樓設有景觀露天休閒酒吧。
3,斗六市,福爾摩沙大飯店,商務旅館,640雲林縣斗六市中山路212號,05-5340055,入住 15:00 / 退房 11:00,"23.708450, 120.540120","交通便利, 太平老街商圈, 乾淨舒適",鄰近斗六火車站與太平老街，交通便捷、生活機能完善，提供舒適溫馨的商旅體驗。
4,斗六市,觀月商務休閒旅館,汽車旅館/Villa,640雲林縣斗六市雲林路二段196號,05-5343333,入住 18:00 / 退房 12:00,"23.701120, 120.531250","主題套房, 獨立車庫, 奈米牛奶浴, KTV房",打造多款異國風情主題套房，配備私人大空間車庫、大型按摩浴缸與娛樂影音設備。
5,虎尾鎮,虎尾春秋 文創潮旅,文創設計旅店,632雲林縣虎尾鎮信義路69號,05-6360618,入住 15:00 / 退房 11:00,"23.708612, 120.435890","布袋戲主題, 文創設計, 復古金屬風, 沐日酒吧",全台首座以布袋戲為主題的文創設計旅店，融合生旦淨末丑角色美學與工業復古設計。
6,虎尾鎮,登豐米蘭商務旅店,商務旅館,632雲林縣虎尾鎮文化路10號,05-6323000,入住 15:00 / 退房 11:00,"23.704250, 120.433120","虎尾科技大學旁, 糖廠商圈, 自行車友善",緊鄰虎尾科技大學與虎尾鐵橋，漫步即可抵達同心公園與虎尾糖廠，地理位置極佳。
7,虎尾鎮,風華渡假旅館,渡假旅館/Villa,632雲林縣虎尾鎮平和路20-15號,05-6366666,入住 18:00 / 退房 12:00,"23.714520, 120.448910","東方禪風, 戶外景觀庭園, 頂級SPA水療",極簡東方禪風美學建築，結合竹林綠意造景、冷熱雙池SPA與尊榮私人庭園。
8,北港鎮,朝聖酒店 (Saint Art Hotel),星級飯店,651雲林縣北港鎮中山路146號3-4樓,05-7822999,入住 15:00 / 退房 11:00,"23.568450, 120.303950","朝天宮前, 歐洲巴洛克奢華風, 在地文化",座落北港朝天宮正前方，融合巴洛克奢華與現代美學，朝聖參香與文化巡禮首選旗艦飯店。
9,北港鎮,笨港客棧,商務旅館,651雲林縣北港鎮民主路83號,05-7832457,入住 15:00 / 退房 11:00,"23.568120, 120.302850","老街周邊, 乾淨平價, 香客推崇",位於北港市區核心老街旁，價格親民、環境明亮整潔，是深度探訪笨港老鎮的便捷落腳點。
10,古坑鄉,劍湖山渡假大飯店,休閒渡假飯店,646雲林縣古坑鄉永光村大湖口67之8號,05-5825700,入住 15:00 / 退房 11:00,"23.618950, 120.578120","五星級渡假, 主題樂園, 親子家庭, 中庭花園",雲林五星級渡假勝地，緊鄰劍湖山世界主題樂園，設有大型兒童遊戲區、多元主題親子客房與國際餐飲。
