id,category,sub_category,name,district,address,lat,lng,google_coordinates,phone,business_hours,description,tags,google_map_url,notes,google_matched_name
SPOT-YL-001,觀光景點,老街商圈,太平老街,斗六市,640雲林縣斗六市太平路,23.7085092,120.5418364,"23.7085092, 120.5418364",無,全天開放,全長約600公尺，保留日治時期紅磚巴洛克式立面建築，古色古香且美食雲集。,"巴洛克建築, 百年老街, 在地小吃, 歷史街屋","https://www.google.com/maps/search/?api=1&query=23.7085092,120.5418364",街道各老店多於傍晚前打烊，建議白天造訪。,太平老街
SPOT-YL-002,觀光景點,文創園區,雲中街生活聚落,斗六市,640雲林縣斗六市雲林路一段75巷,23.7087884,120.5397954,"23.7087884, 120.5397954",05-5336521,10:30–19:00 (週一休),日治警察宿舍群改建，黑瓦木造建築結合手作文創與庭園咖啡。,"日式警察宿舍, 文創手作, 庭園咖啡, 老樹綠蔭","https://www.google.com/maps/search/?api=1&query=23.7087884,120.5397954",每週一休館；園區綠蔭多，夏季請備防蚊用品。,雲中街文創聚落
SPOT-YL-003,觀光景點,親子主題園區,鵝媽媽 鵝童樂園,斗六市,640雲林縣斗六市嘉新路222號,23.6808545,120.5523373,"23.6808545, 120.5523373",05-5351789,09:00–17:30,以鵝為主題的親子樂園，設有大草坪、旋轉天鵝、沙坑與生態餵食區。,"親子同樂, 旋轉天鵝, 大草坪, 生態餵食","https://www.google.com/maps/search/?api=1&query=23.6808545,120.5523373",戶外旋轉天鵝設施需另購代幣；假日常有市集與表演。,鵝媽媽 鵝童樂園
SPOT-YL-004,觀光景點,文化古蹟,行啟記念館,斗六市,640雲林縣斗六市府前街101號,23.70612,120.54385,"23.70612, 120.54385",05-5334421,週三至週日 09:00–17:00 (週一二休),紀念裕仁皇太子訪台歷史建築，紅磚清水立面典雅，現為藝文策展基地。,"日治古蹟, 紅磚折衷洋風, 藝文策展, 公民會館","https://www.google.com/maps/search/?api=1&query=23.70612,120.54385",週一、週二固定休館；後方草坪常辦假日市集。,行啟記念館
SPOT-YL-005,觀光景點,親水公園,斗六藝術水岸園區,斗六市,640雲林縣斗六市社口街,23.7008693,120.546915,"23.7008693, 120.546915",無,全天開放,緊鄰雲林溪大型親水共融公園，具攀爬網、沙坑與水岸漫步綠地。,"共融遊戲場, 水岸步道, 大草皮, 親子野餐","https://www.google.com/maps/search/?api=1&query=23.7008693,120.546915",設有夜間照明與共融式大型遊具，適合傍晚散步野餐。,640雲林縣斗六市社口街
SPOT-YL-006,觀光景點,觀光工廠,雅聞峇里海岸觀光工廠,斗六市,640雲林縣斗六市中興路333號,23.730272,120.5693216,"23.730272, 120.5693216",05-5511585,08:30–17:00,南洋峇里島風情觀光園區，擁有大型人造白沙灘與茅草涼亭造景。,"峇里島風情, 人造人氣沙灘, 茅草涼亭, 美妝香氛","https://www.google.com/maps/search/?api=1&query=23.730272,120.5693216",免費參觀與停車；沙灘區提供孩童玩沙，建議帶換洗衣物。,640雲林縣斗六市榴北里中興路333號
SPOT-YL-007,觀光景點,觀光工廠,大同醬油黑金釀造館,斗六市,640雲林縣斗六市斗工二路39號,23.7198709,120.5989309,"23.7198709, 120.5989309",05-5573636,08:30–17:30,百年醬油觀光工廠，展示黑豆釀造歷史、壯觀日曝甕缸陣與地標醬油瓶。,"黑金醬油, 巨大醬油瓶, 甕缸日曝, 醬油DIY","https://www.google.com/maps/search/?api=1&query=23.7198709,120.5989309",設有定時導覽與蔭油手工DIY體驗（需提前預約）。,640雲林縣斗六市榴南里斗工二路39號
SPOT-YL-008,觀光景點,產業遺產,虎尾糖廠 ＆ 虎尾鐵橋,虎尾鎮,632雲林縣虎尾鎮中山路2號,23.703487,120.4387549,"23.703487, 120.4387549",05-6321540,全天開放,全台僅存運蔗糖廠，搭配跨越虎尾溪的百年英式鋼桁梁鐵橋。,"百年糖都, 季節限定五分車, 英式鋼桁梁鐵橋","https://www.google.com/maps/search/?api=1&query=23.703487,120.4387549",每年12月至翌年3月製糖季可見五分車；鐵橋僅限步行自行車。,虎尾糖廠
SPOT-YL-009,觀光景點,文化館舍,雲林布袋戲館,虎尾鎮,632雲林縣虎尾鎮林森路一段498號,23.7032498,120.3918595,"23.7032498, 120.3918595",05-6313080,10:00–18:00 (週一二休),日治虎尾郡役所改建，展示國寶大師戲偶與掌中戲百年流派演進。,"掌中戲原鄉, 日治郡役所, 歷史水牢, 偶戲國寶","https://www.google.com/maps/search/?api=1&query=23.7032498,120.3918595",每週一、週二休館；館內保留完整日治紅磚拘留所與水牢。,632雲林縣虎尾鎮公安里林森路一段498號
SPOT-YL-010,觀光景點,歷史建築,雲林故事館,虎尾鎮,632雲林縣虎尾鎮林森路一段528號,23.7091333,120.4328398,"23.7091333, 120.4328398",05-6311436,10:00–17:00 (週一二休),日治虎尾郡守官邸，保存完善的日式木造官舍，推廣民間故事與繪本。,"日式木造官邸, 榻榻米書房, 在地說故事","https://www.google.com/maps/search/?api=1&query=23.7091333,120.4328398",入內需脫鞋著襪；週末定期舉辦繪本導讀與耆老說故事。,632雲林縣虎尾鎮德興里林森路一段528號
