站點代碼,站點名稱,行政區,站點類型,緯度(Latitude),經度(Longitude),位置與周邊地標,提供車款,租借方式,費率與優惠,營運狀態,網站小卡文案簡介,特色標籤,Google地圖連結
YL-DL-001,斗六火車站前站,斗六市,交通轉運,23.709923,120.543438,民生路與大同路口（斗六火車站前站廣場／設有MOOVO雲林服務中心）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證（悠遊卡、一卡通、TPASS通勤月票）,智慧自行車：前半小時前補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六交通核心樞紐，設有MOOVO官方服務中心，轉乘台鐵、客運與市區漫遊最便捷首站。,"火車站,服務中心,TPASS適用,商圈中心","https://www.google.com/maps/search/?api=1&query=23.709923,120.543438"
YL-DL-002,斗六火車站後站,斗六市,交通轉運,23.711832,120.544712,武昌路斗六火車站後站出口廣場,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,火車站後站快速出入通道，方便往後站住宅區及周邊機關通勤借還車。,"火車站,通勤推薦,後站商圈","https://www.google.com/maps/search/?api=1&query=23.711832,120.544712"
YL-DL-003,國立雲林科技大學,斗六市,學校文教,23.695347,120.534289,大學路三段123號（雲科大大門口/行政大樓旁）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,雲林最高學府主要出入口，校園廣闊，騎乘MOOVO穿梭系館與市區最省時。,"大專院校,學生通勤,校園周邊","https://www.google.com/maps/search/?api=1&query=23.695347,120.534289"
YL-DL-004,雲林科技大學(龍潭路),斗六市,學校文教,23.693481,120.536972,龍潭路雲科大學生商圈/側門,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,雲科大人氣美食街龍潭路，聚集多樣學生餐廳與小吃，用餐騎行首選。,"學生商圈,美食街,高使用率","https://www.google.com/maps/search/?api=1&query=23.693481,120.536972"
YL-DL-005,斗六棒球場,斗六市,觀光休閒,23.717615,120.548903,明德北路二段320號（斗六國際棒球場正門）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,國際標準級賽事場地，職棒賽事、運動休閒活動最佳綠色接駁點。,"運動場館,職棒賽事,停車便利","https://www.google.com/maps/search/?api=1&query=23.717615,120.548903"
YL-DL-006,斗六觀光夜市,斗六市,購物商圈,23.698942,120.542283,鎮南路與明德東路口周邊,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,雲林最大型觀光流動夜市，每逢營運日人潮絡繹不絕，免找車位輕鬆迺夜市。,"在地夜市,觀光必訪,假日熱點","https://www.google.com/maps/search/?api=1&query=23.698942,120.542283"
YL-DL-007,雲林縣政府,斗六市,機關醫療,23.700341,120.531728,雲林路二段515號（雲林縣政府大門／文化觀光處旁）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,雲林縣行政核心，洽公、文化觀光處看展或造訪縣府園區最便利站點。,"行政中心,洽公便利,文化中心","https://www.google.com/maps/search/?api=1&query=23.700341,120.531728"
YL-DL-008,成大醫院斗六分院,斗六市,機關醫療,23.708152,120.551944,莊敬路345號（成大斗六分院大門口）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,斗六核心醫療重鎮，提供就醫看診民眾與醫護人員低碳接駁服務。,"醫療照護,長照接駁,市區通勤","https://www.google.com/maps/search/?api=1&query=23.708152,120.551944"
YL-DL-009,行啟紀念館,斗六市,觀光休閒,23.704618,120.540871,府前街101號（行啟紀念館／斗六公民會館）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,日治時期歷史建築與文創園區，假日市集與藝文展覽熱門踩點區。,"文創園區,古蹟散策,假日市集","https://www.google.com/maps/search/?api=1&query=23.704618,120.540871"
YL-DL-010,斗六家樂福,斗六市,購物商圈,23.704256,120.535812,雲林路二段297號（家樂福斗六店入口旁）,智慧自行車 / 電動輔助車,APP掃碼 / 電子票證,智慧自行車前半小時優惠 / 電輔車20元/30分,正常營運,斗六市區主要量販採購據點，鄰近雲林路各類連鎖生活賣場。,"生活採買,市區商圈,購物接駁","https://www.google.com/maps/search/?api=1&query=23.704256,120.535812"
