站點代碼,站點名稱,行政區,站點類型,緯度(Latitude),經度(Longitude),位置與周邊地標,提供車款,租借方式,費率與優惠,營運狀態,網站小卡文案簡介,特色標籤,Google地圖連結
MOOVO-YL-001,斗六火車站前站,斗六市,交通轉運,23.709923,120.543438,民生路與大同路口（前站廣場／設有MOOVO官方服務中心）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六火車站前站，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,交通轉運","https://www.google.com/maps/search/?api=1&query=23.709923,120.543438"
MOOVO-YL-002,斗六火車站後站,斗六市,交通轉運,23.711832,120.544712,武昌路斗六火車站後站出口廣場,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六火車站後站，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,交通轉運","https://www.google.com/maps/search/?api=1&query=23.711832,120.544712"
MOOVO-YL-003,國立雲林科技大學(正門),斗六市,學校文教,23.695347,120.534289,大學路三段123號（雲科大大門口/行政大樓旁）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於國立雲林科技大學(正門)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.695347,120.534289"
MOOVO-YL-004,雲林科技大學(龍潭路商圈),斗六市,學校文教,23.693481,120.536972,龍潭路學生商圈/側門,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林科技大學(龍潭路商圈)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.693481,120.536972"
MOOVO-YL-005,雲林科技大學(體育館),斗六市,學校文教,23.692145,120.532145,大學路三段雲科大體育館旁,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林科技大學(體育館)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.692145,120.532145"
MOOVO-YL-006,雲林科技大學(宿舍區),斗六市,學校文教,23.691234,120.535678,雲科大學生宿舍南側出入口,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林科技大學(宿舍區)，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,學校文教","https://www.google.com/maps/search/?api=1&query=23.691234,120.535678"
MOOVO-YL-007,斗六國際棒球場,斗六市,觀光休閒,23.717615,120.548903,明德北路二段320號（棒球場大門口）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六國際棒球場，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,觀光休閒","https://www.google.com/maps/search/?api=1&query=23.717615,120.548903"
MOOVO-YL-008,斗六觀光夜市,斗六市,購物商圈,23.698942,120.542283,鎮南路與明德東路口周邊,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於斗六觀光夜市，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,購物商圈","https://www.google.com/maps/search/?api=1&query=23.698942,120.542283"
MOOVO-YL-009,雲林縣政府,斗六市,機關醫療,23.700341,120.531728,雲林路二段515號（縣府正門前）,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林縣政府，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,機關醫療","https://www.google.com/maps/search/?api=1&query=23.700341,120.531728"
MOOVO-YL-010,雲林縣議會,斗六市,機關醫療,23.698712,120.531234,大學路三段與府文路口,智慧自行車 (Smart Bike) / 電動輔助車 (E-Bike),MOOVO APP 掃碼 / 電子票證 (悠遊卡/一卡通/TPASS通勤月票),智慧自行車：前半小時享縣府補助優惠 / 電輔車：20元/前30分鐘,正常營運,斗六市重要MOOVO租借點，位於雲林縣議會，支援APP掃碼與TPASS月票，串聯周邊景點與通勤動線。,"MOOVO,TPASS適用,斗六市,機關醫療","https://www.google.com/maps/search/?api=1&query=23.698712,120.531234"
